,uniform,onlystocks,vanillariskparity,sixtyforty
1929-01-01,100.0,100.0,100.0,100.0
1930-01-01,100.0,100.0,100.0,100.0
1931-01-01,94.75286,70.37953,88.57526999999996,62.30122000000002
1932-01-01,98.58062,61.37939000000002,90.42048999999996,59.77555000000001
1933-01-01,113.16489,92.34336,102.62512999999994,77.98814999999999
1934-01-01,124.10223000000002,90.00178000000002,108.87610999999997,78.59884999999998
1935-01-01,129.00295000000003,130.13606,116.23035999999996,100.62774999999996
1936-01-01,136.55655,176.51103999999992,124.42255999999995,123.91179999999994
1937-01-01,130.19108,123.08054999999996,118.15061999999995,101.97004999999999
1938-01-01,136.3885,146.92287999999994,123.66592999999993,114.41317999999997
1939-01-01,138.64866000000004,150.33579999999992,125.30133999999991,117.34494999999997
1940-01-01,134.95309,136.35839999999993,123.29949999999991,112.21240999999996
