Category,Metrics,uniform,onlystocks,vanillariskparity,sixtyforty,riskparity
P&L,Starting cash,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
P&L,End value,964077812.720602,12254885132.648626,833612784.8642949,3538209614.3146496,362740173.25006855
P&L,Total return,963.0778127206028,12253.885132648627,832.6127848642948,3537.2096143146487,361.7401732500688
P&L,Annual return,0.0711273801412403,0.09871003832222632,0.06957106051578439,0.08514515471878151,0.06070827401069225
P&L,Annual return (asset mode),0.07393443168146607,0.10265671335212945,0.07231464289534739,0.0885278982694313,0.06309213306008132
Risk-adjusted return based on Drawdown,Max money drawdown,3566.975815556725,288024.6357720383,1596.979024643908,27424.208774626197,902.99204217019
Risk-adjusted return based on Drawdown,Max percentage drawdown,0.21685255208103638,0.6144420144869247,0.17361583352576215,0.36454455776812816,0.1655241733721401
Distribution moments,Returns volatility,0.06587215663933021,0.1891141902578253,0.0660445083414295,0.12037526555200337,0.057414111969994276
Distribution moments,Returns skewness,0.14590372565476628,-0.4819430273751497,0.5307153036746738,-0.28916775499395475,0.752315166659922
Distribution moments,Returns kurtosis,2.8938780748301296,-0.037126390949182575,2.2978714439029853,-0.08557949426923805,3.2510227187101313
Risk-adjusted return based on Volatility,Treynor ratio,-26.978844631406808,3.1878292833264483,-7.282863787598012,3.9345395548611477,7.562156573103128
Risk-adjusted return based on Volatility,Sharpe ratio,0.963316348185119,0.5641358536845242,0.9367904759301708,0.6842921114981583,0.9140240494459886
Risk-adjusted return based on Volatility,Information ratio,0.21561358782432147,0.32871705509633065,0.004510831457428385,0.19942372663367272,-0.027002364624245254
Risk-adjusted return based on Value at Risk,VaR,0.04450015211033986,0.38754883408447327,0.04384243974323487,0.1766486476664969,0.06674323656312697
Risk-adjusted return based on Value at Risk,Expected Shortfall,0.18037930654971646,0.4029658118866486,0.14305270826480165,0.25075424166833293,0.10584540147904842
Risk-adjusted return based on Value at Risk,Excess var,1.4188187359429414,0.27390438331174216,1.4041130047900023,0.46396591011316785,0.7823239198054601
Risk-adjusted return based on Value at Risk,Conditional sharpe ratio,0.3500271221469571,0.2634251374976494,0.4303290762677927,0.3268497076641752,0.4933122244229408
Risk-adjusted return based on Lower Partial Moments,Omega ratio,9.090085582392362,3.369371125283971,8.930408217891653,4.225606885756891,8.840683704278854
Risk-adjusted return based on Lower Partial Moments,Sortino ratio,2.897803094341282,1.1444340941228701,3.2241384869179566,1.6178749866132238,3.063963219763839
Risk-adjusted return based on Lower Partial Moments,Kappa three ratio,1.5061963073275921,0.7837460422268732,1.7789652018233086,1.0885808181178354,1.7632714290115468
Risk-adjusted return based on Lower Partial Moments,Gain loss ratio,13.424997868994952,3.809652283052686,13.323951041191213,5.1374515466667985,14.117008984550543
Risk-adjusted return based on Lower Partial Moments,Upside potential ratio,3.1310267234231337,1.5517564168977875,3.485754138922877,2.0089067529952653,3.297550253467379
Risk-adjusted return based on Drawdown,Calmar ratio,0.23139332419282216,0.17728550448856056,0.23058340181456577,0.20974666924360325,0.18773460020826993
