Category,Metrics,uniform,onlystocks,sixtyforty,riskparity
P&L,Starting cash,100000.0,100000.0,100000.0,100000.0
P&L,End value,887976.2996244772,1922863.6554738274,1959928.0923859081,592986.7434703277
P&L,Total return,7.879762996244839,18.228636554738348,18.599280923859112,4.929867434703265
P&L,Annual return,0.07039781563455406,0.09647414484111755,0.09712649236606914,0.05701803720451086
P&L,Annual return (asset mode),0.07039781563455438,0.0964741448411177,0.09712649236606928,0.05701803720451082
Risk-adjusted return based on Drawdown,Max money drawdown,142.4037148902088,451.3922729446095,225.25278873248578,68.3356596270005
Risk-adjusted return based on Drawdown,Max percentage drawdown,0.2261794774888959,0.5584383514260773,0.289455628699983,0.1563597602361689
Distribution moments,Returns volatility,0.0859782366498605,0.17195687757311193,0.11554372329131302,0.05981300801963236
Distribution moments,Returns skewness,-0.004803564786045531,-0.006994448834263233,-0.007598156665393299,-0.0018482370215123529
Distribution moments,Returns kurtosis,0.014700167395715504,0.03608823572761238,0.02170009170840491,0.012456933923182329
Risk-adjusted return based on Volatility,Treynor ratio,433.789745666496,35.60477741398199,295.58388735404566,39.786783614048375
Risk-adjusted return based on Volatility,Sharpe ratio,0.718652402053901,0.5639194519110251,0.7741049927721618,0.7907709579160034
Risk-adjusted return based on Volatility,Information ratio,-0.09816395415626956,0.08508590054079233,0.2378344121174464,-0.27020775410443393
Risk-adjusted return based on Value at Risk,VaR,0.2214081305911263,0.478691423829224,0.3004412793736027,0.15528354415474832
Risk-adjusted return based on Value at Risk,Expected Shortfall,0.2974201808420768,0.6836337448652057,0.4253528453075744,0.2007650903020356
Risk-adjusted return based on Value at Risk,Excess var,0.27905372912690535,0.20256059288512235,0.29768750378002834,0.3045754540429173
Risk-adjusted return based on Value at Risk,Conditional sharpe ratio,0.20773561607534938,0.14183620885915996,0.21026687719588005,0.23557659299818184
Risk-adjusted return based on Lower Partial Moments,Omega ratio,1.1298803106460908,1.111288773342098,1.1461805576011066,1.1443531902206445
Risk-adjusted return based on Lower Partial Moments,Sortino ratio,1.0448201773116037,0.8023230018698083,1.119955067262904,1.1610336963247594
Risk-adjusted return based on Lower Partial Moments,Kappa three ratio,0.7111942016339432,0.5073190222100762,0.7342748810939355,0.7984579161497181
Risk-adjusted return based on Lower Partial Moments,Gain loss ratio,1.1523366748522492,1.1233899744967906,1.1637392374841724,1.1773755337937926
Risk-adjusted return based on Lower Partial Moments,Upside potential ratio,0.5687867490749604,0.4993256984104877,0.5483576598292604,0.5781152216445716
Risk-adjusted return based on Drawdown,Calmar ratio,0.7982187113440757,0.5252179798467409,0.9432316282780334,0.9291443093615567
