Category,Metrics,uniform,onlystocks,vanillariskparity,sixtyforty,riskparity
P&L,Starting cash,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
P&L,End value,149168975.1607268,220232993.59686226,169489530.7799794,201515732.76961747,172662706.7377333
P&L,Total return,0.491689751607268,1.2023299359686224,0.6948953077997939,1.0151573276961745,0.7266270673773334
P&L,Annual return,0.03702435254868907,0.07441268124363609,0.04913450473268143,0.06577235456516302,0.05090511069250032
P&L,Annual return (asset mode),0.035737784764083846,0.07178270759034278,0.04741758848752875,0.0634566980724054,0.04912488689781003
Risk-adjusted return based on Drawdown,Max money drawdown,0.3034941909704685,27.29810504858179,0.0,11.81534168506795,1.1505400381678754
Risk-adjusted return based on Drawdown,Max percentage drawdown,0.0025573862510772667,0.12364762787918629,0.0,0.06539773355250086,0.010728337739973106
Distribution moments,Returns volatility,0.03410128123136893,0.1392879763665104,0.030457014191576374,0.08114607656801048,0.06472187648111696
Distribution moments,Returns skewness,0.7184178736592423,-0.34150944363624763,0.24492261301914803,-0.5509130394853514,1.1751320042146947
Distribution moments,Returns kurtosis,0.1594289803747322,-1.1943057599535019,-0.30951410958083647,-1.0222287678696418,0.23544064641237483
Risk-adjusted return based on Volatility,Treynor ratio,2.6658969099792165,-3.7484700461350555,9.618493213785317,2.8784045430052214,1.0239867409586891
Risk-adjusted return based on Volatility,Sharpe ratio,0.846606515168291,0.5486870837375241,1.3614077610853152,0.7581649708122848,0.6909533764249413
Risk-adjusted return based on Volatility,Information ratio,-0.11732265064046042,0.5026610391636708,-0.5113714653169112,0.15981392330226857,-0.17311774605711727
Risk-adjusted return based on Value at Risk,VaR,0.002557386251077265,0.12364762787918626,0.0069152127528899765,0.06539773355250089,0.01072833773997306
Risk-adjusted return based on Value at Risk,Expected Shortfall,,,,,
Risk-adjusted return based on Value at Risk,Excess var,10.763651651365283,0.5893268579898948,5.717071965365822,0.8969581934065509,3.9743953311171607
Risk-adjusted return based on Value at Risk,Conditional sharpe ratio,,,,,
Risk-adjusted return based on Lower Partial Moments,Omega ratio,4.02610572608371,2.780695551724846,13.613069507745374,3.646901942955421,5.573117137409714
Risk-adjusted return based on Lower Partial Moments,Sortino ratio,4.668956707139996,1.1849613039831746,36.97763186533315,1.9096430144140002,6.248264099187899
Risk-adjusted return based on Lower Partial Moments,Kappa three ratio,3.7427368266686116,0.948290028283698,26.95611267966907,1.50097058701071,4.478713629108692
Risk-adjusted return based on Lower Partial Moments,Gain loss ratio,9.982192796044638,3.2835314217200406,90.97217707572953,4.746716300105669,15.168686794556605
Risk-adjusted return based on Lower Partial Moments,Upside potential ratio,5.188758142397098,1.7038774409420512,37.388621496429984,2.419327458459081,6.689255151484177
Risk-adjusted return based on Drawdown,Calmar ratio,0.44780395984542926,0.22887659394713164,0.6435538421708106,0.2816540815148826,0.31934042430143955
