,GLD,COM,SP500TR,ITB
2020-01-01,0.0,0.0,0.0,0.0
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
2020-01-01,0.0,0.0,,
1988-01-05,-0.5966561068308012,0.0,,
1988-01-06,-0.5866777580172522,0.0,,
1988-01-07,-0.5831035000700839,-0.005263366786122492,,
1988-01-08,-0.5824457713068105,-0.004269700337560356,,
1988-01-11,-0.5824778908628638,-0.03254080883740673,,
1988-01-12,-0.5885497987395851,-0.048443501308296666,,
1988-01-13,-0.5860120261826662,-0.0500863476116441,,
1988-01-14,-0.5869029458538728,-0.016355281679931832,,
1988-01-15,-0.5888225778040255,-0.01820375862243473,,
1988-01-18,-0.5972438356883042,0.0,,
1988-01-19,-0.5943943563539682,0.0,,
1988-01-20,-0.5934053791054807,-0.008936673231968784,,
1988-01-21,-0.5942878061713943,-0.02030205240068239,,
1988-01-22,-0.5960194011966118,-0.02178036439091502,,
1988-01-25,-0.5958808081691607,-0.019928085679607688,,
1988-01-26,-0.606941811316899,-0.01965269847742912,,
1988-01-27,-0.6150038869439571,-0.03867201901648032,,
1988-01-28,-0.6127152458649383,-0.043261690449282186,,
1988-01-29,-0.6266952597045652,-0.055116923706298615,,
1988-02-01,-0.6353637794868572,-0.057944368175233296,,
1988-02-02,-0.6302368211123747,-0.050109067740523705,,
1988-02-03,-0.6472975670366794,-0.02618888902971228,,
1988-02-04,-0.650650585326797,-0.015429111371209725,,
1988-02-05,-0.6531992678036628,-0.0060167012588070445,,
1988-02-08,-0.6525978248243641,0.0,,
1988-02-09,-0.6581251479922218,-0.005529389878437763,,
1988-02-10,-0.6542541039236092,-0.0257759264473022,,
1988-02-11,-0.6550645263228126,-0.030190394927925746,,
1988-02-12,-0.6503937996254561,-0.046197582035818696,,
1988-02-15,-0.6474258692328612,-0.046270951452585196,,
1988-02-16,-0.6482444025101175,-0.041536174541480286,,
1988-02-17,-0.6473229062128038,-0.03988852353118166,,
1988-02-18,-0.6446590520088951,-0.06976666417959154,,
1988-02-19,-0.6516772205855205,-0.05017047850397893,,
1988-02-22,-0.6476144268085929,-0.058466432931380874,,
1988-02-23,-0.6525456648250108,-0.06348487316243345,,
1988-02-24,-0.6629394744149937,-0.0667886213618436,,
1988-02-25,-0.668688779589973,-0.0919882671342217,,
1988-02-26,-0.6711678542962191,-0.09842131305623114,,
1988-02-29,-0.6777621536133651,-0.09048182340610378,,
1988-03-01,-0.6730992953220911,-0.10446058572688144,,
1988-03-02,-0.6737336205744999,-0.10536083190947654,,
1988-03-03,-0.6734544359837084,-0.12935981473630387,,
1988-03-04,-0.6693701490338448,-0.12205056408227632,,
1988-03-07,-0.663116830876695,-0.11882619975694175,,
1988-03-08,-0.6623698998894922,-0.11477172468366681,,
1988-03-09,-0.6622411372009567,-0.11632718115235419,,
1988-03-10,-0.6531364094170531,-0.09724230714557391,,
1988-03-11,-0.6541039508806724,-0.08079178487079264,,
1988-03-14,-0.6533476337577051,-0.09955140461170864,,
1988-03-15,-0.6535310492073336,-0.09878753832333664,,
1988-03-16,-0.6472896056710993,-0.08185442620033412,,
1988-03-17,-0.6484234036497111,-0.06812973678630996,,
1988-03-18,-0.6525541478933361,-0.05718540254447679,,
1988-03-21,-0.6425395403204074,-0.056576086500235157,,
1988-03-22,-0.6447947009492269,-0.034994069279437934,,
1988-03-23,-0.642284277264842,-0.011272925102496001,,
1988-03-24,-0.6351495213236007,-0.005240879783181107,,
1988-03-25,-0.6387135825736192,0.0,,
1988-03-28,-0.6353828015629461,0.0,,
1988-03-29,-0.6338042519988277,-0.00112514110627282,,
1988-03-30,-0.635603426938138,0.0,,
1988-03-31,-0.63049232551869,-0.012800234623763673,,
1988-04-01,-0.6305207491859579,-0.012876173067254082,,
