,TLT,IEF,SPY,XLU,DBC,GLD
2006-02-07,1.0,1.0,1.0,1.0,1.0,1.0
2006-02-08,0.9953650501438988,0.9987918209066194,1.0181707881174498,0.9993680306961203,0.9914894102246984,1.008425031624959
2006-02-09,1.004393851839306,1.0007232244934163,1.0147933308310115,1.0063148317608626,1.0101328005410477,1.0580829637240294
2006-02-10,0.9933315769237995,0.9949268050300887,1.0184863130514954,1.0075819246789184,0.973354094317706,1.0057250190538756
2006-02-13,0.9935518524868194,0.9949268050300887,1.0147866233829133,1.005045938637639,0.9431333848062488,0.9664431995436387
2006-02-14,0.986512059039788,0.9920353916463204,1.036300617934302,1.0031460888089874,0.9274351186585033,0.9941484001818099
2006-02-15,0.9913359394732034,0.9956442302517157,1.0436015037628796,1.0063094411669529,0.9003985811502154,0.9675111585937014
2006-02-16,0.9917734943577738,0.994679585311096,1.0592316221161986,1.0221511022341996,0.9221922445116812,0.9948664625488919
2006-02-17,1.0076019547394932,1.0014226119030099,1.0534907923316648,1.0406725175918663,0.9483306791695113,1.0109244182937551
2006-02-21,1.0042786360068343,0.999006059234127,1.0482564015714826,1.0438942630974686,0.9798037238898158,1.0168104355923933
2006-02-22,1.017993581131663,1.0064877135383572,1.0609832646819064,1.0516387795395334,0.9478169429162735,1.024927254946125
2006-02-23,1.0128715960606178,1.0016427099970693,1.0578639261729381,1.049047313135816,0.9411944366575724,0.9989984563034969
2006-02-24,1.0097614284301712,0.9992260529810886,1.063272888986569,1.0555172521104808,0.9923375020427248,1.035565018070068
2006-02-27,1.0064342396955106,0.9953657511282064,1.0640951734449602,1.0723900918733005,0.9533891833115856,1.0199311066328163
2006-02-28,1.0163991988210697,1.0033138870033587,1.043874963964799,1.0580002748604749,0.9791118578441098,1.05133059468721
2006-03-01,1.0041172080508667,0.9993582108265301,1.0624357049062734,1.0521526901107836,0.9749076175340682,1.052455568279139
2006-03-02,0.9901339880392519,0.9913686333342041,1.0622706855495168,1.050856407400427,1.0101451438627156,1.0764689356392414
2006-03-03,0.9786742085141185,0.9865446234293118,1.0524171968361986,1.0404975803148138,1.0289304195655744,1.0590146241619
2006-03-06,0.9615822618281837,0.9802902126810892,1.0427726830809914,1.006995219715963,0.9961840030157187,1.0194991809662972
2006-03-07,0.962885424710584,0.9812485548462726,1.039518428314278,0.9974897300009273,0.9614236848684653,1.009162098636741
2006-03-08,0.9622330715080387,0.982208975543692,1.0439053404551515,0.995597606342087,0.9306111297910223,0.9731665251708616
